Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
14,aucun,no
15,laisse,leash
16,eux,them
17,ville,city
18,chaque,each
19,parlé,speak
20,arrivé,come
21,devrait,should
22,bébé,baby
23,longtemps,long time
25,vont,will
26,pendant,while
27,revoir,meet again
28,aucune,any
29,place,square
30,parle,speak
31,compris,understood
32,savais,knew
33,étaient,were
35,voici,here is
36,pourrais,could
37,affaire,case
38,donner,give
40,leurs,their
41,donné,given
42,train,train
43,corps,body
44,endroit,place
45,yeux,eyes
46,façon,way
47,écoute,listen
48,dont,whose
49,trouve,find
50,premier,first
51,perdu,lost
52,main,hand
53,première,first
54,côté,side
55,pouvoir,power
57,sois,be
58,tiens,here
59,matin,morning
60,tellement,so much
61,enfant,child
62,point,point
63,venu,came
64,suite,after
65,pardon,sorry
66,venez,come
67,devant,in front of
68,vers,towards
70,demandé,request
71,chambre,bedroom
72,mis,placed
73,belle,beautiful
74,droit,law
75,aimerais,would like to
77,mari,husband
78,cause,cause
79,enfin,finally
80,espère,hope
81,eau,water
82,parti,left
83,nouvelle,new
84,arrêter,Stop
85,dirait,would say
86,terre,Earth
87,compte,account
89,loin,far
90,fin,end
91,croire,believe
92,chérie,sweetheart
93,gros,large
95,aura,will have
96,filles,girls
97,jouer,to play
98,bureau,office
